Monday,Tuesday,Wednesday,Thursday,Friday,Monday2,y
1443.2,1415.3,1420.6,1418.9,1441.2,1462.6,1
1462.6,1446.3,1471,1504.7,1512.8,1504.8,1
1504.8,1492.7,1517.2,1517.8,1522.4,1475.9,1
1327.8,1325.6,1322.7,1422.7,1405.1,1390.2,-1
1390.2,1375.1,1358.8,1375.2,1382.1,1382.7,1
1382.7,1380.3,1400.7,1420.1,1426.5,1435,1
1435,1438.9,1428.7,1436.3,1467.8,1488.7,1
1488.7,1468.9,1489.4,1486.5,1531.2,1572.6,1
1572.6,1587.1,1567.3,1566.3,1582.5,1601.2,1
1601.2,1558.2,1565.5,1542.1,1516.7,1530.9,-1
1530.9,1540.3,1594.3,1580.5,1580.5,1565.8,-1
1565.8,1571.6,1542.2,1576.6,1570.6,1552.9,-1
1552.9,1546.5,1517.9,1519.6,1520.3,1515.5,1
1580,1582.1,1561.9,1565.4,1583.1,1601.4,1
1601.4,1603.4,1623.8,1613.8,1599.4,1571.9,-1
1571.9,1597.1,1603.7,1620.5,1623.8,1620.3,1
1704.9,1715.2,1700.8,1692.6,1699.8,1701.1,1
1701.1,1695.4,1683,1687,1711.9,1691.6,1
1691.6,1691.5,1672.1,1666.1,1622.2,1625.2,-1
1625.2,1610.5,1614.4,1616.1,1618.9,1605,1
1605,1627.6,1634.7,1637.9,1644.8,1646.6,1
1646.6,1643.9,1625.5,1618.3,1624,1623,1
1623,1632.9,1621.7,1615.4,1605.6,1605.6,-1
1605.6,1614.9,1622.3,1622.6,1615.4,1622,-1
1622,1611.9,1631.4,1630.2,1632.2,1626.1,1
1626.1,1644.7,1650.2,1654.3,1653.3,1497.9,-1
1497.9,1526.9,1570.8,1630.8,1627.2,1654.2,-1
1654.2,1647.1,1647.5,1655.5,1650.5,1650.5,-1
1650.5,1655.6,1647.9,1647.2,1646.2,1633.1,-1
1633.1,1629.1,1628.2,1631.3,1637.6,1629.8,1
1629.8,1634.6,1628.1,1620.7,1616.1,1614.2,-1
1614.2,1626.6,1625.4,1620,1608.1,1607,-1
1588.7,1578.7,1567.2,1568,1568.4,1571,1
1571,1585,1570.1,1564.5,1563.3,1572.7,-1
1572.7,1580.7,1587.9,1579,1572,1576.8,-1
1576.8,1590.8,1582.8,1582.1,1573.6,1573.6,-1
1573.6,1576.1,1574.2,1578.4,1606.2,1609,1
1609,1621.2,1623.2,1621,1629.4,1611.9,1
1589.2,1602.9,1586.2,1588.2,1566.6,1545.4,-1
1545.4,1546.8,1561,1553.4,1558.2,1559.1,1
1559.1,1551.1,1543.6,1546.4,1558.3,1552.9,1
1552.9,1560.9,1573.8,1561.8,1543.2,1539.6,-1
1603.3,1592.5,1578.7,1589.8,1615.7,1622.7,1
1622.7,1628.5,1667.5,1666.3,1671,1677.2,1
1677.2,1685.3,1680.1,1669.6,1664.8,1683.6,-1
1683.6,1683.1,1672.4,1680.9,1687.5,1689,1
1689,1674.6,1686.6,1681.1,1685.5,1682.1,1
1682.1,1683.6,1678.9,1681.4,1676.5,1681.1,-1
1681.1,1695,1687.8,1703.2,1717.6,1729.1,1
1729.1,1722.3,1737.3,1749.9,1745.1,1747.9,-1
1747.9,1763.3,1759.1,1764.8,1746,1750.3,-1
1750.3,1750.5,1743.4,1727.5,1732.6,1724.8,1
1724.8,1730.1,1732.2,1724.6,1736.3,1717.5,1
1717.5,1713.1,1716.3,1719,1711.5,1710.3,-1
1710.3,1717.9,1707.3,1721.7,1719.6,1734.6,-1
1734.6,1739.4,1720,1720.3,1736.1,1727.7,1
1728.3,1732.6,1743.5,1750.8,1748.2,1753,-1
1753,1751.2,1749.4,1742.3,1724.1,1758.4,-1
1758.4,1763.3,1787.5,1785.5,1803,1811.6,1
1757.1,1752.6,1756.3,1768.6,1777,1772.4,1
1772.4,1767.5,1751.2,1757.6,1754.5,1736.5,-1
1736.5,1734.1,1734.6,1740.5,1702.7,1649.7,-1
1649.7,1659.8,1628.2,1623.4,1610.4,1618.1,-1
1618.1,1610.6,1628.2,1624,1615.4,1594.7,-1
1594.7,1611.5,1628.8,1621.2,1609.5,1582.6,-1
1582.6,1564.6,1553,1541,1547.8,1555.4,1
1555.4,1533.2,1524.7,1513.1,1520,1498.7,1
1498.7,1468.9,1473.3,1513.4,1516.5,1541.3,1
1541.3,1518.7,1506.7,1530.8,1536.5,1540.6,1
1540.6,1544.6,1525.3,1528.3,1527.8,1595,-1
1595,1587.6,1584.6,1578.7,1589.3,1573.9,1
1573.9,1550.3,1557.8,1530.9,1513.4,1475,-1
1475,1476.3,1466.4,1484,1478,1424.4,-1
1424.4,1420.3,1436.1,1451.1,1439.7,1432.5,-1
1432.5,1465.5,1458.5,1453.4,1461.6,1479.1,1
1479.1,1511.6,1503.9,1510.1,1526.8,1542.5,1
1542.5,1533.8,1510.3,1493.6,1492.3,1472.6,-1
1472.6,1485,1472.7,1480.9,1487.2,1508.8,1
1508.8,1519.1,1512.2,1535.4,1548.5,1547,1
1530.9,1510.3,1517.7,1523.2,1523,1544.3,-1
1544.3,1544.9,1534,1532.5,1522.2,1525.3,-1
1525.3,1508.2,1500.6,1494.5,1476,1469.8,-1
1469.8,1481.2,1472.1,1476.2,1492,1515.6,1
1531.3,1556.4,1556.4,1542.5,1531.5,1532,-1
1532,1530.2,1516.5,1523.7,1544.6,1573.1,1
1573.1,1578.8,1574.9,1573.7,1587.6,1569.2,1
1569.2,1576.2,1562.3,1567.8,1571.9,1585.2,1
1585.2,1583.1,1601.5,1601.6,1641.4,1647.2,1
1647.2,1641.6,1649.8,1651.1,1661.4,1664.7,1
1664.7,1664.2,1653.3,1672.3,1677.4,1680.7,1
1680.7,1661.6,1644.2,1658.9,1684.4,1701,1
1701,1696.7,1693.7,1687.4,1682.8,1694.8,-1
1694.8,1713.1,1709.7,1717.4,1707.1,1702.6,-1
1702.6,1697.8,1685.1,1696.2,1698.8,1661.4,1
1661.4,1648.4,1659.5,1657.2,1661.3,1674.9,1
1674.9,1685.1,1684.2,1671.5,1661.8,1658.7,-1
1693.3,1687.1,1666.9,1666.7,1657.1,1649.8,-1
1649.8,1640.8,1628.9,1623.9,1627.2,1629.2,1
1629.2,1627.4,1623.2,1623.3,1611.9,1609,-1
1609,1616.2,1629.5,1639.8,1634.5,1627.9,-1
1692,1684.1,1689.6,1692.3,1686.9,1689.8,-1
1689.8,1698.1,1699.4,1686.3,1695.2,1707.2,1
1707.2,1708.3,1697.6,1706.6,1697.8,1692.2,-1
1692.2,1700.9,1719.8,1783.7,1797.4,1818.2,1
1818.2,1807.2,1811.6,1807.7,1813.5,1836.3,1
1836.3,1839,1823.8,1823.5,1830.8,1854.5,1
1854.5,1845.2,1833.9,1833.7,1803.2,1815.1,-1
1815.1,1843.4,1860.6,1860.7,1869.4,1872.3,1
1872.3,1865.2,1865.8,1905,1906.6,1912.2,1
1912.2,1910.2,1935.7,1939,1922.7,1888.3,-1
1888.3,1897.7,1917.8,1901.2,1904.6,1921.9,1
1921.9,1944.9,1918.6,1925.6,1925.2,1910.3,-1
1910.3,1886,1885.3,1880.8,1861.4,1872.6,-1
1872.6,1880.6,1860.4,1855.7,1882,1912.8,1
1912.8,1925.9,1893,1916.5,1885.9,1912.2,-1
1912.2,1913.6,1907.7,1915.7,1912.1,1923.7,-1
1923.7,1972.7,1987.1,1997,2005,2011,1
2011,1998.6,2001.5,1990.1,2015,2033.3,1
2033.3,2026.8,2042.6,2034.7,2066.2,2074.4,1
2074.4,2058.7,2043.1,2038.5,2069,2062.1,1
2062.1,2095.6,2084.4,2062.6,2012.6,2010.8,-1
2010.8,2022.8,2023.8,2023.3,2015,2049.1,-1
2030,2027.4,2029.6,2047.7,2047.2,2043.4,-1
2043.4,2057.8,2089.9,2110.5,2120.6,2118.8,1
2118.8,2115.5,2148.1,2175.8,2161.1,2172.8,-1
2172.8,2150,2110.7,2137.5,2151,2178.2,1
2268,2253.6,2233.4,2220.2,2211.6,2233.8,-1
2233.8,2228.8,2209.2,2164.7,2141.8,2137.4,-1
2137.4,2113.8,2134.4,2116.2,2075.6,2080,-1
2080,2126.8,2119.2,2125.1,2133.5,2177.5,1
2177.5,2179.7,2184,2151.7,2138.3,2079.4,-1
2079.4,2107.2,2085.3,2119,2090.6,2116,-1
2116,2115.6,2136.6,2128.7,2152,2119.5,1
2119.5,2107.6,2127.7,2090.3,2075,2091.6,-1
2091.6,2067.1,2020.3,2038,2060.1,2109,1
2109,2124,2115.1,2141.1,2103.5,2145.2,-1
2145.2,2165.6,2172.7,2175.1,2155.6,2131.3,-1
2131.3,2141.3,2161.1,2161.7,2130.1,2161.4,-1
2225.3,2210.6,2209.2,2198.7,2200.4,2228.8,1
2228.8,2172.4,2182.6,2197,2213.9,2202.2,1
2202.2,2243.2,2253.6,2251.2,2246,2268.7,-1
2268.7,2252.3,2249,2235.8,2237,2218.9,1
2163.1,2135.1,2145.2,2129.3,2133.1,2105.8,1
2105.8,2074.7,2074.7,2054.9,2050.7,1968.8,-1
1968.8,1983.3,1994.4,2022.1,2005.3,1988.6,-1
1988.6,2018.3,2046.3,2025.3,2036.5,2054.4,1
2054.4,2032.7,2035.7,2043.9,2050.9,2065.7,1
2065.7,2048.1,2054,2055.6,2093.6,2098.2,1
2098.2,2128.8,2138.7,2113.3,2150.3,2136.2,1
2136.2,2152,2140.4,2122.8,2146.6,2153.8,1
2153.8,2186.4,2198.9,2183.4,2184.8,2184.7,1
2184.7,2164.2,2160.4,2155.3,2124.7,2138.8,-1
2138.8,2143.1,2162.3,2153.6,2149.6,2123.8,-1
2123.8,2107.9,2126.4,2152.2,2161.5,2193.2,1
2193.2,2210.9,2212.9,2200.8,2204.7,2174.5,1
2174.5,2165.9,2163.8,2172.4,2185.2,2154.6,1
2154.6,2136.1,2124.1,2114,2118.7,2096.8,1
2096.8,2079,2079.5,2073,2089.1,2068.7,1
2090.9,2084.8,2051.2,2070,2022.2,2025.4,-1
2025.4,1974.6,2020.5,2013.2,2040.3,2071.6,1
2071.6,2069.7,2042.4,2051.5,2067.6,2043.5,1
2043.5,2053.4,2096.5,2082.4,2078.4,2089.3,-1
2105.3,2074.8,2033.3,2056,2051.6,2058.5,-1
2058.5,2044.3,2048.3,2046.6,2038.5,2071.1,-1
2071.1,2046.9,2055.6,2042.2,2028.3,2024.8,-1
2024.8,2011.3,2024.8,2052.6,2070.1,2075.9,1
2079.5,2074.8,2072.3,2062.5,2053.9,2059.2,-1
2085.6,2083.9,2078.9,2089.4,2055.6,2026.8,-1
2026.8,2018,2026.8,2030.7,2031.7,2035,1
2035,2021.3,2048.4,2045.3,2058,2089.7,1
2089.7,2092.5,2087.6,2112.7,2130.2,2117,1
2117,2133.2,2135,2115.7,2117,2101.5,1
2101.5,2097,2093.2,2118.2,2118.6,2099.3,1
2099.3,2102.2,2126.2,2118.7,2109.5,2070.3,-1
